three,four,five,NDX
284.35,295.75,293.55,292.35
285.85,296.35,295.25,293.25
286.95,296.75,296.25,294.45
287.35,295.95,295.75,295.15
286.05,293.65,295.95,295.15
282.65,291.95,294.95,294.95
281.65,290.95,294.25,294.25
281.35,289.95,293.55,294.35
279.55,287.45,291.55,292.15
277.75,286.35,288.25,290.55
275.95,285.45,285.75,289.35
275.25,288.55,284.05,288.35
275.75,288.45,283.25,287.75
275.35,286.35,282.25,287.05
276.65,285.65,281.45,285.25
276.35,285.15,282.05,284.55
275.35,285.15,280.75,282.55
275.75,285.95,280.55,281.25
277.35,288.45,281.05,281.55
279.65,290.15,284.55,287.55
281.05,291.25,288.05,288.85
281.85,292.35,289.65,290.35
282.75,292.95,291.25,291.25
282.25,294.05,292.75,292.45
282.95,295.35,294.05,293.45
282.75,295.75,295.45,294.75
282.65,296.15,295.45,295.55
282.75,295.95,295.85,295.45
282.25,295.05,295.75,295.15
281.45,292.95,295.35,294.25
280.65,292.25,294.45,293.25
279.15,290.85,291.75,292.55
278.45,287.75,290.35,292.15
278.35,285.65,289.45,290.85
277.85,284.45,287.55,288.85
277.45,283.75,286.75,287.25
276.95,282.45,286.45,286.35
276.05,281.85,286.05,286.35
276.05,281.25,286.85,285.55
275.65,281.25,287.15,285.75
275.75,282.65,286.05,285.55
275.65,282.75,284.05,283.55
277.25,288.25,283.85,285.25
278.85,291.85,286.15,286.45
280.45,293.85,287.75,288.35
281.55,295.65,289.35,290.15
282.55,296.65,290.75,290.55
283.45,297.75,291.55,292.45
283.95,298.45,292.85,293.05
284.05,299.15,294.05,293.95
283.95,299.05,295.15,294.85
283.15,298.15,294.95,295.15
282.15,296.45,294.95,294.75
280.85,295.55,294.35,292.85
279.95,295.05,291.85,290.85
279.25,293.65,291.65,289.55
278.65,292.55,291.85,288.35
278.65,290.95,291.25,287.15
278.15,290.75,290.65,285.85
278.05,288.35,290.15,284.05
277.95,286.85,289.65,282.45
277.95,287.05,288.65,282.15
278.05,286.95,288.05,281.75
277.95,287.75,287.65,281.15
277.65,287.45,286.65,280.85
277.55,287.45,286.15,280.15
277.85,288.05,286.45,282.05
278.05,288.95,286.15,283.95
278.55,289.95,284.65,285.95
278.85,290.45,284.15,287.65
278.95,292.55,283.95,288.85
279.35,294.05,283.95,291.05
279.05,294.75,283.45,292.45
279.15,295.45,284.55,293.75
279.85,294.55,284.55,295.35
280.05,293.55,284.05,295.75
279.45,291.75,283.95,296.15
278.85,290.95,284.05,295.75
278.75,289.75,283.85,293.45
279.25,287.25,283.55,292.45
279.05,286.15,283.65,294.25
279.65,285.45,282.35,293.55
279.45,285.95,282.05,293.05
279.75,285.25,280.95,292.65
279.75,284.45,279.85,291.75
279.55,283.85,280.05,291.25
278.65,283.55,279.45,290.15
277.75,282.75,279.95,289.55
276.55,282.05,280.85,288.75
278.15,281.95,279.75,286.95
285.05,284.75,279.75,287.95
